Questions,Department,answers
"A body of mass ‘m’ moving with velocity ‘u’ collides with a stationary body of mass ‘2m’ and coalesce to form one body. The speed of the system after collision, is",mechanical,a
Bernoulli’s Principle is a statement of ,electrical,b
On a 60km track travels the first 30km with a uniform speed of 30km/h. How fast must the train travel the next 30km so as to average 40km.h for the entire trip?,mechanical,a
"A driver takes 0.20 s to apply the brakes after he sees a need for it. This is called the reaction time of the driver. If he is driving at a speed of 54km/h and the brakes cause a deceleration of 6.0m/s2, find the distance travelled by the car after he sees the need to put the brakes.",mechanical,c
A body travels from A to B at 40m/s and from B to A at 60m/s. Calculate the average speed.,mechanical,b
"If a bulb uses energy of 100 J and remains on for 25 s, the power consumed by the bulb will be",electrical,b
"An iron of 2000 W uses energy of 240000 J, the time taken by the iron in hours is",electrical,d
One watt is equal to,electrical,a
Resistivity of lead is,electrical,b
A filament lamp is,electrical,b
As compared to sound waves frequency of radio waves is,electrical,b
Decrease in strength of signal is known as,electrical,c
"If frequency of modulated wave is less than frequency of carrier wave, then input signal is",electrical,a
"At end of communication system, signal is converted from radio to",electrical,a
Energy is lost in wires due to,mechanical,d
E.M.F can be induced in a circuit by,electrical,d
A straight wire of length 0.20 m moves at a steady speed of 3.0 m s-1 at right angles to magnetic field of flux density 0.10 T. e.m.f induced across ends of wire is,electrical,b
"By accelerating magnet inside coil, current in it",mechanical,b
Consequence of motor effect is,mechanical,a
Total number of magnetic field lines passing through an area is called,mechanical,b
Semiconductors have electron number density of order,electrical,b
A straight line symbol shows the,electrical,c
Rate of flow of electric charge is,mechanical,d
Instrument which transfers energy to electric charges in a circuit is,mechanical,a
Electric power is related to,electrical,d
Sum of e.m.f around any loop equals,electrical,b
Current entering and leaving a point in a circuit should be,electrical,a
Current through each resistor when they are connected in series is,electrical,b
"If a billion electrons enter a point in 1 s, then number of electrons leaving that point in 1 s are",electrical,c
"Three resistances 20 ?, 30 ? and 60 ? are connected in parallel, their combined resistance is given by",electrical,d
LED starts to conduct when voltage is about,electrical,d
Specific resistance of a wire can be measured by the formula,electrical,b
Fractional change in resistance per kelvin is known as,electrical,c
SI unit of the conductivity of the material is,electrical,d
Wire having resistance of 10 ? at 0 �C and 20 ? at 273 �C will have the temperature coefficient of,electrical,b
"Current of 0.75 A, when a battery of 1.5 V is connected to the wire of 5 m having cross sectional area 2.5 � 10-7�m�, will have resistivity",electrical,a
Materials which easily allow the passage of electric current are known as ______,electrical,b
"A wire of length 2m and another wire of length 5m are made up of the same material and have the same area of cross section, which wire has higher resistance?",electrical,c
"A wire having an area of cross section = 10sqm and another wire having an area of cross section= 15sqm, have the same length and are made up of the same material. Which wire has more resistance?",electrical,b
Which of the following statements are true with regard to resistance?,electrical,a
A wire has the same resistance as the one given in the figure. Calculate its resistivity if the length of the wire is 10m and its area of cross section is 2m.,electrical,b
"Which, among the following is a unit for resistivity?",electrical,c
What is the resistivity of Copper?,electrical,a
Calculate the ratio of the resistivity of 2 wires having the same length and same resistance with area of cross section 2m2�and 5m2�respectively.,electrical,c
Which of the following statements are true with regard to resistivity?,electrical,a
The reciprocal of resistivity is________,electrical,c
The radio waves of frequency 300 MHz to 3000 MHz belong to,electrical,b
Which of the following mode of propagation is used to send radio-waves from one place to another?,electrical,d
"If the plate supply voltage for a plate-modulated class C amplifier is V, the maximum plate-cathode voltage could be almost as high as",electrical,a
"In a low-level AM system, amplifiers following the modulated stage must be",electrical,a
"If the carrier of a 100 percent modulated AM wave is suppressed, the percentage power saving will be",electrical,d
Leak-type bias is used in a plate-modulated class C amplifier to,electrical,b
The output stage of a television transmitter is most likely to be a,electrical,b
The modulation index of an AM wave is changed from 0 to 1. The transmitted power is,electrical,d
One of the advantages of the base modulation over collector modulation of a transistor class C amplifier is,electrical,a
The basic operations performed by a computer are,computer,d
The two major types of computer chips are,computer,d
Microprocessors as switching devices are for which generation computers,computer,d
What is the main difference between a mainframe and a super computer?,computer,c
ASCII and EBCDIC are the popular character coding systems. What does EBCDIC stand for?,computer,a
The brain of any computer system is,computer,c
The Storage capacity of magnetic disk depends on,computer,d
The two kinds of main memory are:,computer,c
A storage area used to store data to a compensate for the difference in speed at which the different units can handle data is,computer,b
Computer is free from tiresome and boardoom. We call it,computer,c
Integrated Circuits (Ics) are related to which generation of computers?,computer,c
CD-ROM is a,computer,d
A hybrid computer,computer,c
which type of computers uses the 8-bit code called EBCDIC?,computer,c
The ALU of a computer responds to the commands coming from,computer,b
One millisecond is,computer,c
The output quality of a printer is measured by,computer,a
Which of the following is not an input device?,computer,d
The accuracy of the floating-point numbers representable in two 16-bit words of a computer is approximately,computer,b
Magnetic disks are the most popular medium for,computer,c
A technique used by codes to convert an analog signal into a digital bit stream is known as,computer,a
When was vacuum tube invented?,computer,b
An application suitable for sequential processing is,computer,c
Software in computer,computer,a
Instructions and memory address are represented by,computer,b
A set of flip flops integrated together is called ____,computer,c
Which is used for manufacturing chips?,computer,c
The first computer introduced in Nepal was,computer,b
Which generation of computer is still under development,computer,b
A register organized to allow to move left or right operations is called a ____,computer,d
Which was the most popular first generation computer?,computer,a
A train is under a journey of several hundred kilometers. How can it be regarded?,mechanical,d
A car is moving along a zigzag path on a level road. This is an example for which of the following?,mechanical,b
A body is moving along a straight path. What will happen to the body in the absence of an external field?,mechanical,c
A person is standing in a bus. When the bus starts moving forward suddenly __________,mechanical,d
"When we shake the branch of a tree, its fruits and dry leaves fall down. This is an example of __",mechanical,b
A dog is chasing a hare and the hare runs in a zigzag path. What happens?,mechanical,c
The driver of a car suddenly sees a broad wall in front of him. What he should do?,mechanical,a
"A gun fires a bullet of mass 50g with a velocity of 30m/s. Because of this, the gun is pushed back with a velocity of 1m/s. The mass of the gun is?",mechanical,c
The motion of a rocket is based on the principle of conservation of _____,mechanical,a
"A bullet is fired from the rifle. If the rifle recoils freely, then the kinetic energy of the rifle is",mechanical,a
A person is standing in an elevator. In which situation he finds his weightless?,mechanical,b
A monkey of mass 20 kg is holding a vertical rope. The rope will not break when a mass of 25 kg is suspended from it but will break if the mass exceeds 25kg. What is the minimum acceleration with which the monkey can climb up along the rope? (g = 10m/s2),mechanical,d
"A block has been placed on an inclined plane with the slope angle ?, block slides down the plant at a constant speed. The coefficient of kinetic energy is equal to",mechanical,d
"A man is standing on a spring platform. Reading of spring balance is 60kg wt. If the man jumps outside from the platform, then the reading of spring balance will",mechanical,d
What sort of energy does flying bird posses?,mechanical,d
"When a spring is compressed or stretched, the potential energy of the spring",mechanical,c
"When the momentum of a body is doubled, its kinetic energy",mechanical,a
"When the velocity of an aeroplane is doubled, the momentum",mechanical,b
What happens to the potential energy when one proton and one electron are brought close together?,mechanical,d
If a particle is oscillating on the same horizontal plane in the ground ___________,mechanical,c
Under what condition is the average velocity equal to the instantaneous velocity?,mechanical,a
How is the speed related to the magnitude of velocity?,mechanical,c
Two balls of different masses (one lighter and one heavier) are thrown vertically upward with same initial speed. Which one will rise to a greater height?,mechanical,a
"Two trains A and B of length 400m each are moving on two parallel tracks with a uniform speed of 72km/h in the same direction, with A ahead of B. The driver of B decides to overtake A and accelerates by 1m/s. If after 50s, the guard of B just brushes past the driver of A, what is the original distance between them?",mechanical,d
A player throws a ball upwards with an initial speed of 29.4m/s. What is the direction of acceleration during the upwards motion of the ball?,mechanical,d
"For a particle in one dimensional motion, which of the following is true?",mechanical,d
A bullet fired into a fixed target loss half of its velocity after penetrating 3cm. How much further will it penetrate before coming to rest assuming that it faces constant resistance in motion?,mechanical,b
"From a building 2 balls A and B are thrown such that A is thrown upward and B is thrown downward. If vA�and vB�are their respective velocities on reaching the ground, then",mechanical,b
The displacement of the body is given to be proportional to the cube of time elapsed. The magnitude of acceleration of body is _______,mechanical,a
"when a ball is thrown vertically upwards, at the maximum height�",mechanical,d
"Tom and Jerry are running forward at the same speed. They are following a rubber ball at a constant speed v as seen by the thrower. According to Sam, who�s standing on the ground, the speed of the ball is",mechanical,b
The flying wheel attached to the shaft of steam engine works on the principle of _,mechanical,b
The moment of inertia of a uniform circular disc about its diameter is 100gcm2. What is its moment of inertia about its tangent?,mechanical,d
The moment of inertia of a uniform circular disc about its diameter is 100 gcm2. What is its moment of inertia about an axis perpendicular to its plane.,mechanical,c
"�Calculate the moment of inertia of the earth about its diameter, taking it to be a sphere of 1025kg and diameter 12800km.",mechanical,c
A torque of 2�10-4�Nm is applied to produce an angular acceleration of 4rad/s2�in a rotating body. What is the moment of inertia of the body?,mechanical,c
A boy carrying a box on his head is walking on a level load from one place to another on a straight road is doing no work. The statement is?,mechanical,a
Kinetic energy with any reference must be ___,mechanical,b
"The kinetic energy of a body becomes four times of its initial value, then new momentum will ____",mechanical,a
"The decrease in potential energy of a ball of mass 20kg, which falls from a height of 50cm, is?",mechanical,b
"If the water falls from a dam into a turbine wheel 19.6m below, then the velocity of water at the turbine is? (g=9.8m/s)",mechanical,b
"Two particles are seen to collide and move jointly together after the collision. During such a collision, for the total system",mechanical,d
"In elastic collision, 100% energy transfer takes place when",mechanical,d
When a body moves with a constant speed along a circle,mechanical,a
A particle executes simple harmonic motion between x = -A and x = +A. The time taken for it to go from 0 to A/2 is T1�and to go from A/2 to A is T2. Then?,mechanical,a
"A particle free to move along the x-axis has potential energy given by U(x) = k [1-exp -x2] for -??x?+?, where k is a positive constant of appropriate dimensions. Then?",mechanical,d
"A simple pendulum has a time period T1, when on the earth�s surface; and T2, when taken to a height R above the earth�s surface (R is the radius of the earth). The value of T2/T1�is?",mechanical,d
"A coin is placed on a horizontal platform, which undergoes vertical simple harmonic motion of angular frequency ?. The amplitude of oscillation is gradually increased. The coin will leave contact with the platform for the first time.",mechanical,b
